Entity,Text,Score,Label,Timestamp
Nova,Nova is surging today!,0.8,Positive,2025-11-16T03:26:01.145895400
Nova,Nova stock rising fast!,0.0,Neutral,2025-11-16T04:06:02.326214900
Nova,Nova is surging today!,0.8,Positive,2025-11-16T04:18:41.041752600
Treasure,Treasure's stock is falling sharply due to market crash.,-0.8,Negative,2025-11-16T05:17:47.568325300
Nova,Nova is surging today!,0.8,Positive,2025-11-16T19:29:45.719841500
Nova,Nova is surging today!,0.8,Positive,2025-11-16T19:31:35.958881900
Nova,Nova is surging today!,0.8,Positive,2025-11-16T19:35:47.802766300
Nova,Nova stock surged,0.0,Neutral,2025-11-17T20:28:22.111454600
Nova,Nova stock is booming!,0.8,Positive,2025-11-17T20:29:20.079776800
Nova,Nova stock price surged today!,0.0,Neutral,2025-11-18T01:03:43.320394600
Nova,Nova's stock price surged today after the announcement!,0.0,Neutral,2025-11-18T01:57:55.697926600
Neutral,The company reported average quarterly results.,0.0,Neutral,2025-11-18T01:58:30.468761
YourEntityName,Your text about the entity,0.0,Neutral,2025-11-18T04:47:40.101018200
Acme,Acme stocks are rising fast!,0.0,Neutral,2025-11-18T04:47:59.324974800
